strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Super Lemon Haze,Green House Seeds,70% Sativa - 30% Indica. THC: 19.33% CBD: 0.21% CBN: 1.15%. Citrus-like haze with balanced effects. Effective for pain and appetite. High yielding.,26.8,28.08,40.0,3 Feminised Seeds (GBP 26.80) | 5 Feminised Seeds (GBP 37.60) | 10 Feminised Seeds (GBP 67.00) | 50 Feminised Seeds (GBP 318.25) | 100 Feminised Seeds (GBP 603.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Super_Lemon_Haze_645bc7082b8bb_120x140.jpg,"This is Super Lemon Haze, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,30% Indica / 70% Sativa,Sativa Dominant,"Indoor, Outdoor",Super Strength,"Appetite Stimulant, Cerebral, General Pain","Citrus, Lemon",Sleepy,Mediterranean,"Spicy, Earthy",21.4%,0.3%,446.0g/m²,1103.0g/plant,170.0cm,185.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,63 days,September,Afghani x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blueberry,Dutch Passion Seeds,Classy cannabis with fruity flavors and blue colorations. 80% Indica/20% Sativa genetics from the 1970s. Ideal for experienced growers.,23.68,29.6,20.0,3 Feminised Seeds (GBP 23.68) | 5 Feminised Seeds (GBP 35.92) | 10 Feminised Seeds (GBP 57.68) | 50 Feminised Seeds (GBP 273.98) | 100 Feminised Seeds (GBP 519.12) | 10 Regular Seeds (GBP 47.52) | 50 Regular Seeds (GBP 225.72) | 100 Regular Seeds (GBP 427.68),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Blueberry_569e7a333452e_120x140.jpg,"Dutch Passion Blueberry is a classic and pleasant cannabis strain known for its fruity flavors and blue hues in leaves and buds. Originating from the 1970s, it has a genetic composition of 80% Indica and 20% Sativa. Growers looking for a top-notch Blueberry experience often start several seeds to select a prime mother plant, which is easy for cloning and continuously offers high-quality buds. While producing good yields under optimal conditions, its cultivation is mainly pursued for its unique, relaxing high rather than quantity. Despite being challenging for novices and having specific feeding requirements, experienced cultivators will find its quality unmatched, maintaining its popularity in coffeeshops decades after its introduction.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Insomnia, Anxiety, Appetite Stimulation",Fruity,"Relaxed, Creative",Temperate,"Earthy, Pine, Berry",19.5%,0.7%,691.0g/m²,924.0g/plant,174.0cm,243.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,78 days,Early October,Afghani x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Nova OG,Anesia Seeds,"Indica-dominant strain with therapeutic effects for pain, anxiety, and inflammation. Premium seeds at Seed City.",31.0,28.08,40.0,3 Feminised Seeds (GBP 31.00) | 5 Feminised Seeds (GBP 47.80) | 10 Feminised Seeds (GBP 89.80) | 50 Feminised Seeds (GBP 426.55) | 100 Feminised Seeds (GBP 808.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Nova_OG_5deeaca24e781_120x140.jpg,"This is Nova OG, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Cerebral, Focused, General Pain, Relaxing, Spasm Relief, Stress Relief","Coffee, Fruity, Lemon, Sweet","Euphoric, Creative",Mediterranean,"Berry, Pine",32%,1.7%,552.0g/m²,631.0g/plant,169.0cm,169.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,8-9 weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Purple Haze Auto,Original Sensible Seeds,"Legendary strain with mind-blowing effects, easy to grow, fast harvest. High tolerance to pests, disease. Ideal for self-medicating or commercial growing.",11.8,28.08,40.0,3 Feminised Seeds (GBP 11.80) | 5 Feminised Seeds (GBP 17.80) | 10 Feminised Seeds (GBP 33.20) | 50 Feminised Seeds (GBP 157.71) | 100 Feminised Seeds (GBP 298.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Purple_Haze_Auto_5922d58811b85_120x140.jpg,"Purple Haze, immortalized by the Jimi Hendrix song, is a legendary strain recognized for its ability to induce an exhilarating, focused, and energizing high. Specially developed in autoflowering form by Original Sensible Seeds, Purple Haze Auto is designed to offer the pure euphoria associated with Purple Haze in a variant that's easy to cultivate for both personal and commercial growers. With its autoflowering properties, cultivation is straightforward whether indoors or outdoors, boasting rapid growth, high pest and disease resistance, and a quick seed to harvest time of just 70 to 75 days. Purple Haze Auto promises to deliver an exceptional product with great bag appeal and a potent high suitable for beginners and expert growers.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Sativa Dominant,"40% Indica, 60% Sativa",Sativa Dominant,"Indoor, Outdoor",Normal,"Cerebral, Depression, Euphoric, General Pain, Happy, Migraine Relief, Nausea, Psychedelic, Spasm Relief, Stress Relief, Uplifting","Earthy, Sandalwood","Mental, psychedelic",Hot & Temperate,"Pine, Berry",17.00%,1.4%,431.0g/m²,969.0g/plant,145.0cm,238.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,80 days,September,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Future #1,Anesia Seeds,"Highly potent strain with 37% THC, stimulating high, fruity flavors, strong resin production. Suitable for relaxation, creativity, and medical use.",33.6,28.08,40.0,3 Feminised Seeds (GBP 33.60) | 5 Feminised Seeds (GBP 52.20) | 10 Feminised Seeds (GBP 99.60) | 50 Feminised Seeds (GBP 473.10) | 100 Feminised Seeds (GBP 896.40),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Future__1_5dee9fe64996a_120x140.jpg,"Cannabis strains reaching THC levels of 30% are rare, yet Anesia Seedbank's latest breed, Future # 1, has achieved a remarkable 37% THC level through repeated lab tests. This achievement defies the long-held belief that the physical limit for THC content is 35%. Future # 1's extraordinary potency is attributed to its genetic background, a cross between Gorilla # 4 and an exceptionally selected Starfighter F2, and its extreme resin production.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,50% Indica / 50% Sativa,50% Indica/50% Sativa,"Indoor, Outdoor",Super Strength,"Depression, Euphoric, General Pain, Nausea, Psychedelic, Relaxing, Stress Relief","Citrus, Fruity, Mango, Pineapple",Creative,Tropical,"Sweet, Pine, Spicy",37%,0.2%,748.0g/m²,1136.0g/plant,129.0cm,296.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,9-10 weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Lemon Haze,Royal Queen Seeds,"Sativa-dominant strain with zesty lemon aroma and flavor. High THC, moderate CBD. Award-winning. Uplifting effects, energizing, creative. High yields.",19.2,28.08,40.0,3 Feminised Seeds (GBP 19.20) | 5 Feminised Seeds (GBP 29.00) | 10 Feminised Seeds (GBP 53.60) | 50 Feminised Seeds (GBP 254.60) | 100 Feminised Seeds (GBP 482.40),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Lemon_Haze_55132139332b1_120x140.jpg,"Lemon Haze is a Sativa-dominant hybrid well-known for its lemony scent and flavor, combined with skunky and spicy undertones. It has a striking appearance due to its light green buds with yellowish tints and a heavy coating of trichomes. This strain stands out with a high THC content and moderate CBD levels.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,Sativa 75% Indica 25%,Feminized,"Indoor, Outdoor",Super Strength,"Creative, Euphoric, Insomnia, Psychedelic, Relaxing, Uplifting","Citrus, Lemon","Balanced, Clear, Stoned",Short Summers,"Citrus, Fruity",21%,Low,600 - 650 gr/m2,650 - 700 gr/plant,80 - 140 cm,130 - 170 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 - 10 weeks,Middle of October,Lemon Skunk x Shining Silver Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Wedding Cake,Flavour Chasers,"Indica strain with sweet aroma and fruity flavor. Calming effect, high potency, good for depression, fibromyalgia, and MS symptoms.",26.02,28.08,40.0,1 Single Feminised Seed (GBP 26.02) | 5 Feminised Seeds (GBP 108.40) | 25 Feminised Seeds (GBP 514.90) | 50 Feminised Seeds (GBP 975.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Wedding_Cake_5fd8d551bba11_120x140.jpg,"This is Wedding Cake, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor, Greenhouse",Normal,"Anxiety, Depression","Fruity, Sweet","Energetic, Focused, Creative",Tropical,Spicy,20.5%,0.3%,773.0g/m²,949.0g/plant,96.0cm,285.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 WEEKS,November,Haze x Skunk,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Auto Northern Lights,Ministry of Cannabis,"Indica strain with pungent taste, high relaxation effects. Quick flowering time, good yields indoors/outdoors.",10.2,28.08,40.0,2 Feminised Seeds (GBP 10.20) | 5 Feminised Seeds (GBP 20.20) | 25 Feminised Seeds (GBP 95.95) | 50 Feminised Seeds (GBP 181.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Auto_Northern_Li_5840ceb98fcba_120x140.jpg,"Auto Northern Lights is a potent, pure indica variant, famous for its strong effects and pungent, sweet flavor. This autoflowering version matures faster and is highly adaptable, thriving in both soil and hydro setups, and scales up in size with adequate outdoor space and light. Notably uniform, it ensures a significant degree of relaxation for both body and mind.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica,50% Indica / 50% Sativa,Indica,"Indoor, Outdoor",Normal,"Body Stone, Relaxing",Sweet,"Euphoric, Sleepy, Creative",Continental,"Pine, Earthy",Up to 15%,1.4%,408.0g/m²,1105.0g/plant,134.0cm,191.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,5.5-6 weeks,Early October,Colombian x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Grandaddy Purple,Big Head Seeds,"Indica strain with oversized purple flowers, grape aroma, and berry taste. Instant euphoria and relaxation. Easy to grow indoors or out.",36.6,28.08,40.0,5 Feminised Seeds (GBP 36.60) | 10 Feminised Seeds (GBP 60.00) | 50 Feminised Seeds (GBP 285.00) | 100 Feminised Seeds (GBP 540.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Grandaddy_Purple_5c115f6eaafbc_120x140.jpg,"Grandaddy Purple, an iconic indica dominant hybrid born from Big Bud and Purple Urkle in 2003, marked a significant milestone in global cannabis breeding recognition. It features oversized, crystal-covered purple flowers, exuding a heady grape aroma and a rich berry flavor.
The strain delivers immediate euphoria alongside deep body relaxation, offering a blissful, time-warping experience. It's praised for being exceptionally easy to grow both indoors and outdoors.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,Indica/Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Body Stone, Euphoric, Happy, Relaxing","Berry, Grape","Focused, Creative",Mediterranean,"Spicy, Citrus",20-23%,1.2%,750.0g/m²,800.0g/plant,121.0cm,268.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,81 days,Mid October,Colombian x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Candy Kush Automatic,Auto Seeds,"California genetics create high-yielding strain. Easy to grow, mold/pest resistant. High THC/CBD for pain relief, insomnia. Sweet, heady smoke with spice notes.",15.9,28.08,40.0,3 Feminised Seeds (GBP 15.90) | 5 Feminised Seeds (GBP 24.30) | 25 Feminised Seeds (GBP 115.43) | 50 Feminised Seeds (GBP 218.70),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Candy_Kush_Autom_5bfc35f9137cb_120x140.jpg,"Candy Kush is a premium autoflowering strain resulting from a collaboration that combines California's top kush genetics with Auto Pounder. This carefully selected kush variety yields a sweet, high-yielding kush strain that's straightforward to grow. It's an autoflowering type, becoming ready in as little as 65 days from seed, ideal for indoor cultivation, reaching up to 60cm, and producing a significant central cola alongside abundant bud sites. Moreover, Candy Kush exhibits excellent resistance to mould and pests, potentially yielding up to 400g/m2 under optimal conditions.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,50% Indica/50% Sativa,Indica/Sativa/Ruderalis,50% Indica/50% Sativa,"Indoor, Outdoor",Normal,"Body Stone, General Pain, Insomnia, Narcotic",Sweet,Creative,Continental,Earthy,High,1.6%,422.0g/m²,870.0g/plant,168.0cm,248.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,74 days,Late October,Haze x Skunk,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
